Body size,Body weight,Cheeks,Face shape/ chin,Eyes,Lips,Teeth,Skin,Hair,Appetite,Thirst,Digestion,Mind,Voice,Emotions,doshas
Slim,C.Low,wrinkled/sunken,"Thin, angular","Small,sunken, dry, active, black,brown","C.Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",C.Changeable,"C.Irregular, forms gas",Restless,"Weak, hoarse","C.Anxiety, fear, uncertainity",vatta
Medium,B.Medium,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Medium , soft , tender gums","B.Smooth, oily, warm, rosy","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",B.Surplus,"B.Quick, causes burning",Impatient,Strong tone,"B.Anger, hate, jealousy",pitta
Large,A.Overweight,"Rounded, plump","Rounded, double chin","Big, blue, calm","A.Smooth, oily, cool, white, pale","Healthy, white, strong gums","A.Thick, oily, cool, white, pale","A.Thick, curly, oily, wayv, luxurient",A.Slow but steady,A.Sparse,"A.Prolonged, formes mucous",Calm,"Deep, good tone","A.Calm, greedy, attachment",kapha
Large,A.Overweight,Smooth flat,Tapering/triangular,"Big, blue, calm","A.Smooth, oily, cool, white, pale","Healthy, white, strong gums","B.Smooth, oily, warm, rosy","B.Straight, oily, blonde, gray, red, bald",A.Slow but steady,C.Changeable,"B.Quick, causes burning",Calm,"Deep, good tone","A.Calm, greedy, attachment",kapha
Medium,B.Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","C.Dry, cracked, black/brown tinge","Medium , soft , tender gums","C.Thin, dry, cold, rough","C.Dry, brown, black, knotted, brittle, scarce",A.Slow but steady,A.Sparse,"C.Irregular, forms gas",Impatient,"Weak, hoarse","B.Anger, hate, jealousy",pitta
Large,A.Overweight,wrinkled/sunken,"Thin, angular","Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Medium , soft , tender gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald",A.Slow but steady,A.Sparse,"A.Prolonged, formes mucous",Calm,"Weak, hoarse","B.Anger, hate, jealousy",kapha
Large,A.Overweight,wrinkled/sunken,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","C.Dry, cracked, black/brown tinge","Healthy, white, strong gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",B.Surplus,"C.Irregular, forms gas",Impatient,"Weak, hoarse","A.Calm, greedy, attachment",vatta
Medium,A.Overweight,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Healthy, white, strong gums","C.Thin, dry, cold, rough","C.Dry, brown, black, knotted, brittle, scarce","B.Strong and unbearablerregular, scanty",B.Surplus,"B.Quick, causes burning",Calm,"Deep, good tone","A.Calm, greedy, attachment",kapha
Medium,C.Low,wrinkled/sunken,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",C.Changeable,"C.Irregular, forms gas",Impatient,Strong tone,"C.Anxiety, fear, uncertainity",pitta
Slim,C.Low,"Rounded, plump","Thin, angular","Big, blue, calm",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce","B.Strong and unbearablerregular, scanty",C.Changeable,"A.Prolonged, formes mucous",Impatient,"Deep, good tone","B.Anger, hate, jealousy",vatta
