Body size,Body weight,Cheeks,Face shape/ chin,Eyes,Lips,Teeth,Skin,Hair,Appetite,Thirst,Digestion,Mind,Voice,Emotions,doshas
Slim,Low,Smooth flat,"Thin, angular","Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Surplus,"Quick, causes burning",Impatient,Strong tone,"Anxiety, fear, uncertainity",pitta
Large,Overweight,Smooth flat,Tapering/triangular,"Big, blue, calm","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald",Slow but steady,Changeable,"Quick, causes burning",Calm,"Deep, good tone","Calm, greedy, attachment",kapha
Medium,Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce",Slow but steady,Sparse,"Irregular, forms gas",Impatient,"Weak, hoarse","Anger, hate, jealousy",pitta
Large,Overweight,wrinkled/sunken,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Slow but steady,Sparse,"Prolonged, formes mucous",Calm,"Weak, hoarse","Anger, hate, jealousy",kapha
Large,Overweight,wrinkled/sunken,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","Dry, cracked, black/brown tinge","Healthy, white, strong gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Surplus,"Irregular, forms gas",Impatient,"Weak, hoarse","Calm, greedy, attachment",vatta
Medium,Overweight,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce",Strong and unbearable,Surplus,"Quick, causes burning",Calm,"Deep, good tone","Calm, greedy, attachment",kapha
Medium,Low,wrinkled/sunken,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Changeable,"Irregular, forms gas",Impatient,Strong tone,"Anxiety, fear, uncertainity",pitta
Slim,Low,"Rounded, plump","Thin, angular","Big, blue, calm",red inflammed yellowish,"Stick out, big, roomy, thin gums","Smooth, oily, warm, rosy","Dry, brown, black, knotted, brittle, scarce",Strong and unbearable,Changeable,"Prolonged, formes mucous",Impatient,"Deep, good tone","Anger, hate, jealousy",vatta
Medium,Medium,Smooth flat,Tapering/triangular,"Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Sparse,"Quick, causes burning",Impatient,Strong tone,"Calm, greedy, attachment",pitta
Large,Medium,"Rounded, plump","Thin, angular","Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Thick, oily, cool, white, pale","Thick, curly, oily, wayv, luxurient",Strong and unbearable,Changeable,"Quick, causes burning",Restless,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Large,Medium,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Healthy, white, strong gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald",Slow but steady,Changeable,"Prolonged, formes mucous",Restless,Strong tone,"Calm, greedy, attachment",kapha
Medium,Low,"Rounded, plump",Tapering/triangular,"Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Healthy, white, strong gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald","Irregular, scanty",Sparse,"Quick, causes burning",Impatient,"Deep, good tone","Anxiety, fear, uncertainity",pitta
Large,Low,Smooth flat,"Rounded, double chin","Small,sunken, dry, active, black,brown","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Sparse,"Irregular, forms gas",Impatient,"Weak, hoarse","Calm, greedy, attachment",vatta
Medium,Low,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Changeable,"Irregular, forms gas",Calm,"Deep, good tone","Anxiety, fear, uncertainity",vatta
Medium,Low,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Medium , soft , tender gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald","Irregular, scanty",Changeable,"Quick, causes burning",Impatient,"Deep, good tone","Anger, hate, jealousy",pitta
Large,Overweight,wrinkled/sunken,Tapering/triangular,"Big, blue, calm","Dry, cracked, black/brown tinge","Medium , soft , tender gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient","Irregular, scanty",Surplus,"Irregular, forms gas",Impatient,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Medium,Overweight,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown","Smooth, oily, cool, white, pale","Healthy, white, strong gums","Smooth, oily, warm, rosy","Thick, curly, oily, wayv, luxurient",Slow but steady,Changeable,"Quick, causes burning",Calm,"Deep, good tone","Calm, greedy, attachment",kapha
Medium,Medium,wrinkled/sunken,"Rounded, double chin","Big, blue, calm",red inflammed yellowish,"Medium , soft , tender gums","Smooth, oily, warm, rosy","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Surplus,"Irregular, forms gas",Impatient,Strong tone,"Anger, hate, jealousy",pitta
Medium,Low,Smooth flat,"Thin, angular","Sharp, bright, gray, green, sensitive to light",red inflammed yellowish,"Stick out, big, roomy, thin gums","Thin, dry, cold, rough","Dry, brown, black, knotted, brittle, scarce",Slow but steady,Changeable,"Prolonged, formes mucous",Impatient,"Weak, hoarse","Anxiety, fear, uncertainity",vatta
Medium,Medium,wrinkled/sunken,"Thin, angular","Small,sunken, dry, active, black,brown",red inflammed yellowish,"Healthy, white, strong gums","Thick, oily, cool, white, pale","Dry, brown, black, knotted, brittle, scarce","Irregular, scanty",Changeable,"Quick, causes burning",Restless,Strong tone,"Calm, greedy, attachment",vatta
Medium,Overweight,wrinkled/sunken,"Thin, angular","Sharp, bright, gray, green, sensitive to light","Smooth, oily, cool, white, pale","Medium , soft , tender gums","Thick, oily, cool, white, pale","Straight, oily, blonde, gray, red, bald",Strong and unbearable,Changeable,"Prolonged, formes mucous",Impatient,Strong tone,"Anxiety, fear, uncertainity",pitta
